param_name,param_value,trades,win_rate,total_return,sharpe,drawdown,profit_factor
pullback_pct,0.04,12,0.6667000000000001,0.0111,5.27,0.0011,5.41
pullback_pct,0.05,10,0.8,0.0124,6.11,0.0007000000000000001,11.14
pullback_pct,0.06,9,0.8889,0.0131,6.62,0.0005,29.27
pullback_pct,0.07,8,0.875,0.0118,6.06,0.0005,26.3
pullback_pct,0.08,8,0.875,0.0118,6.06,0.0005,26.3
pullback_pct,0.1,7,0.8571,0.0103,5.48,0.0005,23.24
stop_atr,1.2,9,0.8889,0.0131,6.62,0.0005,29.27
stop_atr,1.5,9,0.8889,0.0131,6.62,0.0005,29.27
stop_atr,1.8,9,0.8889,0.0131,6.62,0.0005,29.27
stop_atr,2.0,9,0.8889,0.0131,6.62,0.0005,29.27
target_atr,2.5,9,0.8889,0.0131,6.62,0.0005,29.27
target_atr,3.0,9,0.8889,0.0131,6.62,0.0005,29.27
target_atr,3.5,9,0.8889,0.0131,6.62,0.0005,29.27
target_atr,4.0,9,0.8889,0.0131,6.62,0.0005,29.27
target_atr,5.0,9,0.8889,0.0131,6.62,0.0005,29.27
adx_min_trade,12.0,9,0.8889,0.0131,6.62,0.0005,29.27
adx_min_trade,15.0,9,0.8889,0.0131,6.62,0.0005,29.27
adx_min_trade,18.0,9,0.8889,0.0131,6.62,0.0005,29.27
adx_min_trade,20.0,9,0.8889,0.0131,6.62,0.0005,29.27
max_risk_pct,0.03,9,0.8889,0.0131,6.62,0.0005,29.27
max_risk_pct,0.04,9,0.8889,0.0131,6.62,0.0005,29.27
max_risk_pct,0.05,9,0.8889,0.0131,6.62,0.0005,29.27
max_risk_pct,0.06,9,0.8889,0.0131,6.62,0.0005,29.27
